1,2,5,0,2,0,0,0
2,8,4,0,0,0,0,0
3,87,7,6,2,0,0,13
5,23,1,2,0,0,0,1
6,45,2,4,2,1,8,2
7,23,2,3,0,0,0,0
9,5,5,3,2,0,0,
10,34,3,2,1,3,0,
12,4,2,2,1,0,0,0
13,0,3,0,1,1,1,0
14,2,0,0,0,0,0,0
16,0,0,0,1,1,0,1
17,15,1,1,1,0,0,0
18,5,4,0,0,0,0,0
20,14,0,1,0,0,0,0
21,12,5,2,3,2,2,0
